fymon,number,percent
2011-06,365,9.2710
2011-07,327,10.1584
2011-08,384,9.2754
2011-09,377,9.6100
2011-10,353,9.7433
2011-11,273,8.5500
2011-12,312,9.5618
2012-01,346,9.1317
2012-02,363,9.5778
2012-03,440,10.5693
2012-04,434,10.7773
2012-05,466,10.4157
2012-06,408,11.2057
2012-07,380,10.7072
2012-08,470,10.5832
2012-09,361,9.9367
2012-10,418,10.3057
2012-11,327,10.1996
2012-12,367,11.9350
2013-01,526,12.6503
2013-02,426,11.5887
2013-03,375,10.7173
2013-04,445,11.0340
2013-05,439,10.5911
2013-06,393,9.7446
2013-07,310,9.7607
2013-08,418,11.4426
2013-09,399,10.3663
2013-10,314,10.0867
2013-11,368,10.6852
2013-12,404,12.0417
2014-01,439,12.0142
2014-02,404,11.2660
2014-03,489,12.1280
2014-04,435,11.4053
2014-05,398,12.1564
2014-06,499,10.1795
2014-07,590,10.8776
2014-08,466,10.3075
2014-09,609,11.3029
2014-10,510,9.2025
2014-11,473,8.9890
2014-12,327,6.7646
2015-01,265,5.5451
2015-02,295,6.0662
2015-03,247,4.7592
2015-04,219,3.8267
2015-05,206,4.1249
2015-06,238,3.9759
2015-07,239,4.0074
2015-08,264,4.9953
2015-09,280,4.4857
2015-10,237,3.7829
2015-11,170,3.4034
2015-12,202,3.7736
2016-01,230,4.3577
2016-02,195,3.2014
2016-03,315,4.2857
2016-04,194,2.8112
2016-05,161,2.1054
2016-06,140,1.6449
2016-07,112,1.5309
2016-08,93,1.1455
2016-09,97,0.9611
2016-10,82,0.7758
2016-11,107,0.9582
2016-12,64,0.6526
2017-01,37,0.3786
2017-02,33,0.3214
2017-03,37,0.2944
2017-04,41,0.3456
2017-05,44,0.3013
2017-06,29,0.2060
2017-07,27,0.2094
2017-08,28,0.1800
2017-09,34,0.2520
2017-10,31,0.1954
2017-11,27,0.1837
2017-12,23,0.1698
2018-01,33,0.2570
2018-02,19,0.1635
2018-03,33,0.2554
2018-04,22,0.1677
2018-05,34,0.2346
2018-06,34,0.2465
2018-07,22,0.1675
2018-08,32,0.1982
2018-09,29,0.2039
2018-10,34,0.1816
2018-11,29,0.1867
2018-12,31,0.2421
2019-01,19,0.1617
2019-02,37,0.1932
2019-03,28,0.1507
2019-04,35,0.1644
2019-05,40,0.1915
2019-06,42,0.2358
2019-07,40,0.1998
2019-08,39,0.1826
2019-09,41,0.2156
2019-10,43,0.1793
2019-11,47,0.2350
2019-12,47,0.2429
2020-01,39,0.1736
2020-02,21,0.0921
2020-03,28,0.1494
2020-04,14,0.1291
2020-05,17,0.1311
2020-06,15,0.1161
2020-07,24,0.1933
2020-08,18,0.1319
2020-09,14,0.1821
2020-10,17,0.2161
2020-11,19,0.2695
2020-12,14,0.1996
2021-01,14,0.1762
2021-02,8,0.1194
2021-03,8,0.0871
2021-04,13,0.1764
2021-05,9,0.1302
2021-06,4,0.0510
2021-07,5,0.0630
2021-08,5,0.0640
2021-09,4,0.0471
2021-10,7,0.0778
2021-11,16,0.1554
2021-12,5,0.0445
2022-01,25,0.2164
2022-02,12,0.0855
2022-03,11,0.0491
2022-04,17,0.0578
2022-05,11,0.0422
2022-06,13,0.0445
2022-07,6,0.0206
2022-08,6,0.0178
2022-09,4,0.0132
2022-10,2,0.0065
