fymon,number,percent
2010-07,105,3.4449
2010-08,112,3.4043
2010-09,83,2.9051
2010-10,99,3.2727
2010-11,87,3.2744
2010-12,105,3.4953
2011-01,130,3.8090
2011-02,141,4.3912
2011-03,176,4.2584
2011-04,156,4.1947
2011-05,174,4.6976
2011-06,176,4.4704
2011-07,145,4.5045
2011-08,227,5.4831
2011-09,189,4.8177
2011-10,205,5.6583
2011-11,174,5.4494
2011-12,231,7.0794
2012-01,246,6.4925
2012-02,255,6.7282
2012-03,287,6.8941
2012-04,269,6.6799
2012-05,394,8.8064
2012-06,303,8.3219
2012-07,318,8.9603
2012-08,401,9.0295
2012-09,333,9.1660
2012-10,306,7.5444
2012-11,306,9.5446
2012-12,295,9.5935
2013-01,383,9.2112
2013-02,349,9.4940
2013-03,398,11.3747
2013-04,455,11.2819
2013-05,455,10.9771
2013-06,448,11.1084
2013-07,382,12.0277
2013-08,445,12.1818
2013-09,496,12.8865
2013-10,424,13.6203
2013-11,438,12.7178
2013-12,420,12.5186
2014-01,462,12.6437
2014-02,494,13.7758
2014-03,558,13.8393
2014-04,509,13.3456
2014-05,468,14.2944
2014-06,737,15.0347
2014-07,839,15.4683
2014-08,685,15.1515
2014-09,839,15.5716
2014-10,966,17.4305
2014-11,972,18.4721
2014-12,845,17.4803
2015-01,857,17.9326
2015-02,859,17.6640
2015-03,946,18.2274
2015-04,1131,19.7624
2015-05,949,19.0028
2015-06,1269,21.1995
2015-07,1349,22.6190
2015-08,1137,21.5137
2015-09,1357,21.7398
2015-10,1475,23.5435
2015-11,1113,22.2823
2015-12,1159,21.6514
2016-01,1126,21.3338
2016-02,1410,23.1489
2016-03,1651,22.4626
2016-04,1643,23.8081
2016-05,1820,23.8002
2016-06,1996,23.4520
2016-07,1702,23.2641
2016-08,2095,25.8037
2016-09,2946,29.1885
2016-10,3044,28.7985
2016-11,3423,30.6528
2016-12,3042,31.0187
2017-01,3044,31.1502
2017-02,3271,31.8625
2017-03,4319,34.3596
2017-04,4291,36.1713
2017-05,5503,37.6840
2017-06,5214,37.0444
2017-07,5021,38.9376
2017-08,6619,42.5577
2017-09,5843,43.3136
2017-10,7223,45.5193
2017-11,6890,46.8867
2017-12,6402,47.2647
2018-01,6080,47.3520
2018-02,5392,46.4028
2018-03,5834,45.1548
2018-04,6005,45.7663
2018-05,6990,48.2402
2018-06,7002,50.7612
2018-07,6525,49.6878
2018-08,7916,49.0337
2018-09,7352,51.6837
2018-10,9758,52.1316
2018-11,8149,52.4490
2018-12,6674,52.1243
2019-01,6302,53.6204
2019-02,10259,53.5746
2019-03,9806,52.7601
2019-04,11350,53.3039
2019-05,10469,50.1077
2019-06,9194,51.6198
2019-07,10598,52.9318
2019-08,11390,53.3315
2019-09,10008,52.6377
2019-10,13247,55.2350
2019-11,11335,56.6693
2019-12,11279,58.2864
2020-01,13846,61.6227
2020-02,15380,67.4561
2020-03,13330,71.1123
2020-04,7903,72.8992
2020-05,9979,76.9332
2020-06,10192,78.8977
2020-07,9815,79.0385
2020-08,10860,79.5721
2020-09,5852,76.1285
2020-10,6092,77.4472
2020-11,5412,76.7660
2020-12,5342,76.1728
2021-01,6122,77.0451
2021-02,5228,78.0532
2021-03,7345,79.9760
2021-04,5940,80.6080
2021-05,5585,80.8249
2021-06,6500,82.8765
2021-07,6638,83.6020
2021-08,6393,81.8461
2021-09,6796,79.9529
2021-10,6992,77.7321
2021-11,7673,74.5168
2021-12,8469,75.3671
2022-01,8824,76.3850
2022-02,11114,79.1426
2022-03,18409,82.1097
2022-04,25073,85.2330
2022-05,22471,86.2246
2022-06,26165,89.5356
2022-07,26861,92.1633
2022-08,31863,94.7260
2022-09,29035,96.0978
2022-10,30095,97.7396
2022-11,27638,99.0787
