fymon,number,percent
2015-08,154,2.9139
2015-09,220,3.5245
2015-10,203,3.2402
2015-11,140,2.8028
2015-12,131,2.4472
2016-01,156,2.9557
2016-02,162,2.6597
2016-03,189,2.5714
2016-04,171,2.4779
2016-05,211,2.7593
2016-06,258,3.0314
2016-07,224,3.0618
2016-08,207,2.5496
2016-09,278,2.7544
2016-10,269,2.5449
2016-11,314,2.8119
2016-12,338,3.4465
2017-01,322,3.2951
2017-02,331,3.2242
2017-03,336,2.6730
2017-04,335,2.8239
2017-05,347,2.3762
2017-06,354,2.5151
2017-07,332,2.5746
2017-08,370,2.3790
2017-09,324,2.4018
2017-10,392,2.4704
2017-11,314,2.1368
2017-12,316,2.3330
2018-01,318,2.4766
2018-02,284,2.4441
2018-03,351,2.7167
2018-04,351,2.6751
2018-05,346,2.3879
2018-06,316,2.2909
2018-07,288,2.1931
2018-08,335,2.0751
2018-09,291,2.0457
2018-10,388,2.0729
2018-11,317,2.0403
2018-12,211,1.6479
2019-01,268,2.2803
2019-02,359,1.8748
2019-03,288,1.5496
2019-04,337,1.5827
2019-05,366,1.7518
2019-06,290,1.6282
2019-07,364,1.8180
2019-08,350,1.6388
2019-09,277,1.4569
2019-10,314,1.3093
2019-11,217,1.0849
2019-12,232,1.1989
2020-01,224,0.9969
2020-02,193,0.8465
2020-03,136,0.7255
2020-04,80,0.7379
2020-05,93,0.7170
2020-06,55,0.4258
2020-07,70,0.5637
2020-08,56,0.4103
2020-09,49,0.6374
2020-10,51,0.6484
2020-11,50,0.7092
2020-12,33,0.4706
2021-01,37,0.4656
2021-02,26,0.3882
2021-03,34,0.3702
2021-04,29,0.3935
2021-05,16,0.2315
2021-06,28,0.3570
2021-07,28,0.3526
2021-08,19,0.2432
2021-09,19,0.2235
2021-10,37,0.4113
2021-11,31,0.3011
2021-12,64,0.5695
2022-01,37,0.3203
2022-02,53,0.3774
2022-03,62,0.2765
2022-04,81,0.2754
2022-05,79,0.3031
2022-06,83,0.2840
2022-07,48,0.1647
2022-08,68,0.2022
2022-09,51,0.1688
2022-10,28,0.0909
2022-11,11,0.0394
